#RunFolderName,PipelineVersion,Min_Memory,Max_Memory,Threads,Status
170512_M03333_0220_000000000-B3VW7,V2.2.1,6G,36G,12,job_submitted
170512_M01651_0179_000000000-B3J7M,V2.2.1,6G,36G,12,job_submitted
170515_M00351_0220_000000000-B5PYB,V2.2.1,6G,36G,12,job_submitted
170515_M01651_0180_000000000-B5PWD,V2.2.1,6G,36G,12,job_submitted
170519_M00351_0221_000000000-B5PP5,V2.2.1,6G,36G,12,job_submitted
170519_M01651_0181_000000000-B5R5L,V2.2.1,6G,36G,12,job_submitted
170522_M03333_0222_000000000-B84CT,V2.2.1,6G,36G,12,job_submitted
170522_M01651_0182_000000000-B46TN,V2.2.1,6G,36G,12,job_submitted
170522_M00351_0222_000000000-B474P,V2.2.1,6G,36G,12,job_submitted
170519_M03333_0221_000000000-B5PY8,V2.2.1,6G,36G,12,job_submitted
170515_M00351_0220_000000000-B5PYB,V2.2.1,6G,36G,12,job_submitted
170524_M01651_0183_000000000-B46JN,V2.2.1,6G,36G,12,job_submitted
170524_M00351_0223_000000000-B46WJ,V2.2.1,6G,36G,12,job_submitted
170526_M00351_0224_000000000-B46Y7,V2.2.1,6G,36G,12,job_submitted
170526_M01651_0184_000000000-B46K3,V2.2.1,6G,36G,12,job_submitted
170527_M03333_0224_000000000-B46Y6,V2.2.1,6G,36G,12,job_submitted
170530_M03333_0225_000000000-B84CJ,V2.2.1,6G,36G,12,job_submitted
170530_M01651_0185_000000000-B5PWN,V2.2.1,6G,36G,12,job_submitted
170602_M03333_0226_000000000-B5PWF,V2.2.1,6G,36G,12,job_submitted
170602_M01651_0186_000000000-B5R58,V2.2.1,6G,36G,12,job_submitted
170602_M00351_0226_000000000-B5PL7,V2.2.1,6G,36G,12,job_submitted
170605_M00351_0227_000000000-B5PWB,V2.2.1,6G,36G,12,job_submitted
170605_M01651_0187_000000000-B5PWR,V2.2.1,6G,36G,12,job_submitted
170605_M03333_0227_000000000-B5PKT,V2.2.1,6G,36G,12,job_submitted
